x,y,z
0.104248,-0.388184,0.917236
0.104492,-0.350830,0.910889
x,y,z
-0.063721,0.121826,0.730957
0.189209,-0.712402,-0.708740
0.290527,-0.593018,-0.977051
0.260498,-0.553955,-0.944580
0.236816,-0.841064,-0.610596
0.121094,-0.638672,0.502930
-0.006104,-0.317383,0.931152
0.094727,-0.349854,0.875488
0.089111,-0.382324,0.931641
0.084229,-0.404297,0.894287
0.083740,-0.450928,0.877930
0.084473,-0.398193,0.889893
0.091064,-0.402344,0.906738
0.073242,-0.412354,0.892822
x,y,z
0.270996,-0.728760,-0.942383
0.270020,-0.801514,-0.994141
0.198486,-0.997314,-0.736816
0.085449,-0.031982,1.066406
0.079590,-0.141113,0.899414
0.055908,-0.113525,0.911621
0.082764,-0.261230,0.870117
0.073730,-0.106201,0.938477
0.117676,0.033936,1.070557
0.072998,-0.113525,0.939697
x,y,z
0.000244,-0.114258,0.991943
-0.000977,-0.046387,1.077148
0.405029,-1.381836,-0.897705
0.264404,-0.717773,-0.685303
0.278809,-0.847412,-0.662842
0.300293,-1.181885,-0.443604
0.038818,-0.008057,0.934814
0.100586,-0.205811,0.978271
0.095459,-0.292725,0.958252
0.133545,-0.317139,0.923340
0.093262,-0.349121,0.941650
0.115723,-0.354980,0.917725
x,y,z
0.261963,-0.982178,-0.489014
0.092773,-0.377686,0.337646
0.133301,-0.291016,0.903076
0.124023,-0.349121,0.899658
0.126221,-0.350830,0.924316
x,y,z
0.009033,-0.196533,0.993896
0.004883,-0.150146,1.003174
0.019043,-0.179932,0.986572
-0.036377,-0.029297,1.005859
0.286621,-1.186768,-0.519287
0.207031,-0.764893,-0.597656
0.292969,-0.787598,-0.638428
0.304199,-1.086914,-0.522705
0.087891,-0.121094,0.740479
-0.042480,-0.129150,1.033691
0.101807,-0.236084,0.957275
0.072754,-0.330322,0.929199
0.084717,-0.388916,0.936768
x,y,z
0.221191,-0.759277,-0.734375
0.251953,-0.803955,-0.756836
0.170654,-0.771973,-0.188232
0.049561,-0.249268,0.940918
0.109375,-0.290039,0.899902
0.084717,-0.326416,0.940674
0.096924,-0.407715,0.913330
0.094482,-0.383545,0.929443
x,y,z
0.046875,-0.030518,1.046143
0.386719,-1.016602,-0.579102
0.263184,-0.701416,-0.778076
0.301758,-0.680176,-0.914307
0.299805,-0.931885,-0.648926
0.139404,0.078125,0.670898
0.133057,-0.412354,0.877686
0.165039,-0.281494,0.906494
0.180908,-0.370850,0.892822
0.145264,-0.376953,0.917480
x,y,z
0.132324,-0.395752,0.902100
0.132080,-0.422119,0.885254
0.042480,-0.238770,0.626953
0.244385,-0.823242,-0.660889
0.261230,-0.665527,-0.826904
0.216553,-0.636475,-0.781738
0.263184,-0.908447,-0.604248
0.004883,0.446289,0.737549
0.094727,-0.299072,0.960693
0.133301,-0.437744,0.894775
0.138428,-0.351562,0.881104
0.140381,-0.429443,0.900391
x,y,z
0.287109,-0.687012,-0.812500
0.288574,-0.779541,-0.778809
0.242920,-0.882812,-0.199707
0.088867,-0.212158,0.890869
0.119873,-0.313232,0.917969
0.138428,-0.361328,0.902100
0.131836,-0.422363,0.885498
0.133545,-0.403564,0.896729
0.125977,-0.413086,0.913818
x,y,z
0.305908,-0.904297,-0.516602
0.288818,-0.612061,-0.788574
0.262939,-0.602051,-0.790283
0.226318,-0.580811,-0.786865
0.278809,-0.774414,-0.816895
0.173584,-0.842529,-0.154297
0.161133,-0.865479,0.439941
0.074219,-0.082275,0.908203
0.112793,-0.255371,0.936279
0.115967,-0.354980,0.892090
0.102051,-0.403564,0.914307
0.119629,-0.392578,0.909668
x,y,z
0.147217,-0.333008,0.927979
0.156982,-0.140869,0.844238
0.226074,-1.160400,-0.296875
0.331787,-0.682861,-0.688232
0.313965,-0.640137,-0.840576
0.340576,-0.887939,-0.673340
0.292969,-0.803223,-0.146240
0.114502,-0.376953,0.881348
0.079834,-0.068604,1.036865
0.159424,-0.354492,0.901855
0.166748,-0.350830,0.912109
0.155762,-0.389893,0.915039
0.157959,-0.438721,0.878906
0.159912,-0.456055,0.886230
0.151855,-0.457031,0.856934
0.133789,-0.428467,0.888916
0.147217,-0.455322,0.886230
0.138916,-0.435547,0.854736
x,y,z
0.132324,-0.943848,-0.584717
0.154541,-0.983154,-0.658691
0.108154,-1.162842,-0.339111
0.139404,-0.255371,0.819580
0.110596,-0.241211,0.906982
0.106689,-0.434326,0.927979
0.103760,-0.427490,0.889893
0.114990,-0.419922,0.904785
x,y,z
0.133057,-0.200684,0.945068
0.187744,-0.558594,0.603516
0.259277,-0.848145,-0.415771
0.354248,-0.658447,-0.786377
0.248047,-0.524658,-0.806641
0.307373,-0.775635,-0.801758
0.164307,-0.850830,0.154785
0.099609,-0.586426,0.688721
0.124023,-0.394287,0.847168
0.122559,-0.485107,0.880615
0.149414,-0.438232,0.852783
x,y,z
0.330811,-0.927979,-0.602783
0.338623,-0.665039,-0.810547
0.297607,-0.618896,-0.896240
0.265869,-0.854980,-0.603516
0.128662,-0.520264,0.464600
0.014893,-0.070557,1.028809
0.148926,-0.405762,0.911133
0.118652,-0.351318,0.919189
0.142578,-0.348877,0.932617
0.146973,-0.373779,0.911621
0.142090,-0.346191,0.914307
0.132568,-0.348389,0.900879
0.135010,-0.367188,0.936768
0.118652,-0.368164,0.966553
x,y,z
0.288330,-0.678467,-0.748779
0.186768,-0.665771,-0.792969
0.298340,-0.888916,-0.811035
0.143555,-0.777588,0.269043
0.099609,-0.189209,0.834473
0.057861,-0.396484,0.914551
0.117676,-0.390137,0.916992
x,y,z
0.263672,-0.346436,0.877930
0.211426,-0.311768,0.906006
0.223877,-0.265625,0.908936
0.184570,-0.119385,0.804688
0.163330,-1.155029,-0.454346
0.266846,-0.868408,-0.703857
0.232666,-0.779541,-0.698242
0.191162,-0.884521,-0.171875
0.077393,-0.303711,0.640381
0.157227,-0.475342,0.856201
0.146240,-0.420166,0.913330
0.156494,-0.483154,0.863770
0.145020,-0.467529,0.864502
x,y,z
0.144043,-0.969482,-0.455566
0.262451,-0.775146,-0.750000
0.232666,-0.692627,-0.720947
0.230713,-0.935791,-0.489746
0.021973,-0.214355,0.606445
0.102783,-0.348389,0.935547
0.131592,-0.378418,0.947998
0.159668,-0.448730,0.907959
x,y,z
0.194824,-0.072510,0.980469
0.181152,-0.034912,0.855469
0.306396,-1.140869,-0.728516
0.298828,-0.657471,-0.756104
0.331299,-0.670654,-0.858887
0.314453,-0.843262,-0.481934
0.126465,-0.941895,0.172119
0.042480,-0.219971,0.840576
0.102539,-0.305908,0.978271
0.118896,-0.417969,0.895508
0.111816,-0.471924,0.867432
x,y,z
0.127930,-0.478027,0.864990
0.118896,-0.462891,0.891357
0.108154,-0.430420,0.908936
0.120850,-0.705566,0.457520
0.204102,-0.861572,-0.357666
0.210449,-0.623291,-0.791260
0.236816,-0.607910,-0.894043
0.251953,-0.849609,-0.677002
0.164307,-0.697510,0.212402
0.009521,-0.140137,1.002686
0.131348,-0.323242,0.917236
0.136719,-0.484131,0.861816
0.117188,-0.471924,0.878418
0.123291,-0.416748,0.868896
0.095215,-0.358887,0.914551
0.089111,-0.397217,0.917236
0.106689,-0.388916,0.910889
0.079102,-0.409912,0.905762
0.096191,-0.486816,0.916016
0.140381,-0.482666,0.870605
0.119629,-0.470703,0.877930
x,y,z
0.130615,-0.394531,0.895508
0.118164,-0.366455,0.937012
0.071777,-0.142578,0.917236
0.048828,-0.538574,0.500244
0.202393,-1.008545,-0.551025
0.250488,-0.722168,-0.843750
0.184814,-0.781250,-0.838623
0.203857,-0.959961,-0.163574
0.141846,-0.490967,0.720947
0.075928,-0.127686,0.992432
0.109619,-0.332031,0.937744
0.121338,-0.293701,0.937744
0.098877,-0.398682,0.909668
x,y,z
0.150391,-0.724121,-0.631104
0.209229,-0.709229,-0.796143
0.238281,-0.921875,-0.729248
0.110596,-0.903076,0.109131
0.023926,-0.389404,0.768066
0.045654,-0.070557,0.964600
0.034668,-0.172119,0.990479
0.038330,-0.189209,0.954834
0.019043,-0.214600,0.991211
x,y,z
0.066406,-0.280518,0.800537
0.317627,-1.071289,-0.652100
0.270508,-0.647949,-0.773926
0.247070,-0.551025,-0.901367
0.244385,-0.685547,-0.703613
0.200684,-0.867432,-0.020020
0.085449,-0.426025,0.804932
0.091309,-0.383545,0.924072
0.142090,-0.503662,0.860107
0.161133,-0.536621,0.790771
0.117188,-0.500244,0.862793
0.133545,-0.466797,0.848145
x,y,z
0.114014,-0.512207,0.833252
