x,y,z
0.524902,-0.946045,0.002197
0.670166,-0.855469,0.00293
0.562988,-0.937744,0.191406
0.524414,-0.767334,0.036377
0.301025,-0.83667,-0.043945
0.300293,-0.956055,-0.081055
0.292236,-0.879883,-0.38501
0.199219,-0.948242,-0.21875
0.181885,-0.927734,-0.039062
0.520752,-1.000488,0.11084
0.633789,-0.921875,-0.109131
0.559326,-0.875977,-0.058594
0.541748,-0.838379,-0.069824
0.373047,-0.855713,-0.057617
0.316162,-0.893799,0.071777
0.362793,-0.897461,0.101074
0.484375,-0.867432,0.027588
x,y,z
0.080811,-0.897705,-0.161865
0.144775,-1.027344,0.085938
0.471436,-0.860596,0.077881
0.628418,-0.914307,0.140137
0.72583,-0.755127,0.117432
0.53833,-0.882324,-0.264404
0.459717,-0.770752,-0.46167
0.106689,-0.842529,-0.48999
0.07373,-0.932861,-0.231201
0.289795,-0.890381,-0.083252
0.468018,-0.845215,0.071777
0.493408,-0.836182,0.283447
0.659912,-0.934326,0.033447
0.585938,-0.805908,-0.023438
0.431152,-0.83252,-0.272705
0.316406,-0.933105,-0.078613
0.421875,-0.854492,-0.040039
0.485352,-0.855957,-0.092041
0.503906,-0.821533,-0.119629
0.498779,-0.837402,-0.105469
0.5,-0.833496,-0.111328
x,y,z
0.388916,-0.874268,-0.449707
0.319336,-0.78418,-0.275146
0.207764,-0.877441,-0.168701
0.296631,-0.793457,0.018311
0.529053,-0.890381,0.124268
0.693848,-0.938721,0.270508
0.551025,-0.885498,-0.022461
0.395264,-0.831055,-0.289795
0.297607,-0.803955,-0.376709
0.114746,-0.900391,-0.468262
0.175781,-0.9729,-0.230713
0.250977,-0.890381,-0.005859
0.400879,-0.993164,0.127441
0.500977,-1.041992,0.249756
0.604248,-0.89917,0.154541
0.511475,-0.841309,-0.000977
0.441895,-0.82373,-0.06958
0.354248,-0.910889,-0.000977
0.409424,-0.86499,0.051025
0.500488,-0.863525,0.001953
x,y,z
0.248291,-0.893555,-0.293213
0.2146,-0.984863,-0.189697
0.308838,-0.946289,0.05835
0.528564,-0.895508,0.235107
0.431641,-0.875,0.322754
0.565186,-0.820557,0.250732
0.50293,-0.818115,-0.008789
0.330811,-0.909912,-0.208984
0.190918,-1.019531,-0.382812
0.189941,-0.939209,-0.185547
0.267822,-0.891602,0.017334
0.441162,-0.82959,0.149658
0.548584,-0.951416,0.18042
0.584717,-0.856445,0.045654
0.462158,-0.908203,-0.079834
0.378174,-0.929688,-0.136475
0.37085,-0.880371,-0.026367
0.363281,-0.845215,0.11499
x,y,z
0.232178,-0.895996,-0.051514
0.25415,-0.92041,0.094482
0.37085,-0.977295,0.227783
0.666016,-1.012939,0.230469
0.508301,-0.837158,-0.066895
0.457764,-0.836914,-0.230713
0.225342,-0.899414,-0.291748
0.071533,-0.855957,-0.408447
0.25293,-0.906494,-0.04834
0.208496,-0.897949,0.128418
0.359375,-0.922119,0.077881
0.609863,-0.976074,-0.019043
0.533203,-0.856689,-0.143311
0.4646,-0.783691,-0.118652
0.329834,-0.885254,-0.097412
0.306396,-0.931152,-0.006836
0.386963,-0.934082,0.010986
x,y,z
0.276367,-0.841064,-0.091064
0.469238,-0.95874,-0.030762
0.474365,-0.860596,0.198486
0.634521,-0.883057,0.182373
0.557373,-0.84375,0.02417
0.438965,-0.766846,-0.146729
0.220703,-0.934082,-0.186523
0.123047,-0.955811,-0.270752
0.132568,-0.967041,-0.146729
0.333008,-0.883301,0.054443
0.343994,-0.914307,0.148926
0.452148,-0.941406,0.072021
0.608154,-0.920166,-0.081299
0.532227,-0.833008,-0.274414
0.359131,-0.849365,-0.259033
0.236816,-0.898682,0.001221
0.36377,-0.88623,0.067383
x,y,z
0.436279,-0.848633,-0.353271
0.227783,-0.87085,-0.400879
0.244629,-0.970947,-0.225098
0.331543,-0.800781,-0.132568
0.451416,-0.803955,0.131836
0.554688,-0.941162,0.178467
0.592285,-0.998047,0.055908
0.540771,-0.898682,-0.12085
0.347656,-0.85083,-0.202637
0.293213,-0.895264,-0.216064
0.146484,-0.884277,-0.135254
0.154053,-0.94458,0.070312
0.28125,-0.976074,0.108643
0.416748,-0.899658,0.125
0.461914,-1.085693,0.220459
0.447021,-0.946777,0.054443
0.459717,-0.916748,-0.057129
0.38916,-0.857178,-0.077637
0.282471,-0.901123,0.029297
0.326904,-0.922363,0.10083
x,y,z
0.275879,-0.874023,-0.407227
0.211914,-0.861328,-0.202393
0.095703,-0.956787,-0.00708
0.43457,-0.895752,0.225342
0.501465,-0.942383,0.31543
0.473877,-0.948242,0.245117
0.45874,-0.946533,0.036377
0.284668,-0.897217,-0.219727
0.173096,-0.968994,-0.125244
0.073242,-0.996582,-0.240967
0.13208,-0.937256,-0.146729
0.340332,-0.898682,0.033447
0.20459,-0.822998,0.173584
0.456299,-1.053955,0.230225
0.583984,-1.00415,0.08374
0.446289,-0.798584,-0.122803
0.358154,-0.907471,-0.136475
0.234863,-0.900391,0.109863
0.32373,-0.868164,0.133057
x,y,z
0.420898,-0.877197,-0.318359
0.309326,-0.841553,-0.312012
0.240234,-0.91626,-0.080811
0.302002,-0.885986,0.072266
0.431396,-0.843994,0.182129
0.673096,-0.880127,-0.091797
0.610352,-0.976807,-0.13623
0.433105,-0.847656,-0.186523
0.344482,-0.873047,-0.168945
0.258057,-0.955811,-0.279053
0.183105,-0.88623,-0.19165
0.292725,-0.928955,0.006104
0.247559,-0.905029,0.059326
0.416016,-0.911865,0.143311
0.471436,-0.894287,0.179443
0.537109,-0.992676,-0.003906
0.510254,-0.90332,-0.016602
0.403564,-0.873535,-0.100586
0.293457,-0.831055,-0.058838
0.272217,-0.897461,0.141113
x,y,z
0.534668,-0.857666,-0.097168
0.421387,-0.855713,-0.280029
0.281006,-0.887451,-0.45459
0.173584,-0.87793,-0.181396
0.190674,-0.926758,0.153564
0.254883,-0.894775,0.121582
0.411865,-0.937988,0.301758
0.572754,-1.063721,0.160156
0.527344,-0.89209,-0.046875
0.432861,-0.862549,-0.260742
0.316406,-0.837158,-0.188232
0.15332,-0.945068,-0.247803
0.109131,-0.946533,-0.049805
0.315186,-0.89624,0.071289
0.357422,-0.879395,0.210449
0.434814,-1.032715,0.143799
0.513916,-0.966309,0.085693
0.5,-0.836426,0.015625
0.435303,-0.860352,-0.106201
0.307617,-0.930176,-0.042725
0.253418,-0.952393,0.03833
0.332764,-0.905518,0.057617
x,y,z
0.482178,-0.835693,-0.011475
0.575928,-0.83374,-0.276367
0.293457,-0.871826,-0.463379
0.042236,-0.867676,-0.292725
0.088379,-0.948486,0.134766
0.30542,-0.927002,0.26709
0.39917,-0.897461,0.243652
0.598633,-0.980713,0.079834
0.564453,-0.833496,-0.137207
0.369629,-0.827148,-0.412109
0.318604,-0.921875,-0.291016
0.127441,-0.949463,-0.28125
0.163818,-0.87207,0.080078
0.273193,-0.863037,0.190674
0.354248,-0.892334,0.287354
0.504883,-0.927002,0.306641
0.522217,-0.961426,0.053467
0.439697,-0.884277,-0.086426
0.324463,-0.90918,-0.147949
0.293945,-0.874512,-0.067383
0.372559,-0.882812,0.033691
x,y,z
0.223145,-0.946289,-0.020752
0.34375,-0.890381,0.144775
0.505859,-0.901367,0.168457
0.608887,-0.956055,0.144287
0.623535,-0.875732,0.00708
0.389648,-0.885498,0.049561
0.292725,-0.877686,-0.00415
0.210205,-0.972168,-0.098389
0.131592,-0.960693,-0.099854
0.192627,-0.863281,-0.0625
0.379639,-0.862793,0.200439
0.55542,-0.945557,0.063721
0.507324,-0.885986,0.084717
0.426758,-0.921387,-0.087158
0.323486,-0.910156,-0.162109
0.225098,-0.882568,-0.019287
0.337646,-0.901611,0.008545
0.417725,-0.909668,-0.037354
x,y,z
0.385254,-0.871826,-0.038574
0.442627,-0.877686,-0.062744
0.445312,-0.943604,-0.245605
0.327881,-0.878174,-0.277832
0.221924,-0.91333,-0.267578
0.267822,-0.863281,-0.032471
0.309082,-0.840576,0.143311
0.61792,-0.987549,0.072998
0.720459,-0.872803,0.084961
0.56958,-0.777344,-0.032959
0.433838,-0.88916,-0.161621
0.314209,-0.912354,-0.296143
0.128906,-0.912354,-0.327393
0.214355,-1.003906,-0.051758
0.390869,-0.882812,0.1521
0.340088,-0.906006,0.108887
0.523926,-0.98877,0.061523
0.601318,-0.900391,-0.08252
0.48291,-0.84082,-0.184814
0.300049,-0.860596,-0.153564
0.228271,-0.951416,-0.05127
0.326904,-0.945312,0.098389
0.374756,-0.923096,-0.045654
0.393799,-0.891602,-0.069824
x,y,z
0.528809,-0.88916,-0.251953
0.205322,-0.941162,-0.474365
0.06543,-0.909424,-0.263916
0.150146,-0.902588,-0.020508
0.316406,-0.837402,0.097168
0.59668,-0.914551,0.188232
0.668945,-0.864258,0.000244
0.503662,-0.887939,-0.068848
0.425049,-0.943604,-0.28125
0.195557,-0.912842,-0.339355
0.126709,-0.940918,-0.140381
0.237305,-0.950195,-0.125
0.243896,-0.842285,-0.037598
0.498535,-0.865234,0.077148
0.534912,-0.925781,0.180664
0.600586,-0.963135,-0.035889
0.547607,-0.843506,-0.187744
0.400391,-0.807373,-0.13501
0.256836,-0.866699,0.05127
0.355957,-0.89502,0.172607
0.429443,-0.931641,0.097656
0.449707,-0.826172,0.019043
x,y,z
0.430664,-0.840332,-0.241699
0.20752,-0.93335,-0.180908
0.051514,-0.984131,-0.087891
-0.005371,-0.951904,0.128418
0.125732,-0.897217,0.29248
0.420898,-0.916016,0.295898
0.516357,-1.014893,0.204346
0.559326,-0.922363,-0.060791
0.429932,-0.881104,-0.18042
0.255371,-0.904785,-0.225586
0.150146,-0.955811,-0.207764
0.10376,-0.978027,0.002197
0.240723,-0.960205,0.168457
0.237793,-0.894287,0.225342
0.393555,-0.993408,0.150635
0.594482,-1.001465,-0.029541
0.490967,-0.894043,-0.084473
0.364258,-0.905762,-0.133301
0.218018,-0.903809,0.013916
0.240479,-0.891357,0.171387
0.36084,-0.9104,0.088867
x,y,z
0.378174,-0.898438,-0.056885
0.42334,-0.873047,-0.245361
0.327881,-0.923096,-0.349854
0.121338,-0.907471,-0.185303
0.090576,-0.967773,-0.042725
0.347412,-0.889404,0.184814
0.435791,-0.820312,0.212646
0.493164,-0.998535,0.219727
0.503906,-0.950439,0.183105
0.409424,-0.868408,-0.084961
0.176025,-0.920654,-0.156738
0.099121,-1.009277,-0.237305
0.192871,-1.001953,-0.161865
0.15332,-0.862305,-0.063232
0.256104,-0.826416,0.241943
0.364258,-0.937012,0.280029
0.538086,-1.040771,0.176758
0.534912,-0.922363,0.001221
0.407227,-0.851807,0.023193
0.158691,-0.970703,0.061035
0.177002,-0.923828,0.163086
0.300781,-0.962158,0.14624
0.365967,-0.919434,0.039307
