443,-0.0077,0.1381,1.0025
444,-0.0123,0.1755,0.9957
445,-0.0207,0.2205,0.9866
446,-0.0233,0.259,0.9778
447,-0.0298,0.2806,0.9673
448,-0.036,0.31,0.9541
449,-0.0406,0.3397,0.9374
450,-0.0497,0.362,0.9153
451,-0.0632,0.4139,0.8828
452,-0.0716,0.4787,0.8447
453,-0.0865,0.5458,0.7978
454,-0.1018,0.6263,0.7446
455,-0.1121,0.7061,0.6899
456,-0.1253,0.7547,0.6381
457,-0.138,0.7937,0.5881
458,-0.1466,0.8231,0.5405
459,-0.1552,0.8381,0.4972
460,-0.1627,0.8539,0.4542
461,-0.1691,0.8755,0.4103
462,-0.1745,0.8932,0.3633
463,-0.1823,0.9149,0.3119
464,-0.188,0.9414,0.2573
465,-0.1905,0.9639,0.2008
466,-0.1944,0.9778,0.1449
467,-0.1954,0.989,0.0933
468,-0.1965,0.9916,0.0446
469,-0.1958,0.9916,-0.0013
470,-0.1961,0.9926,-0.0418
471,-0.1953,0.9909,-0.0796
472,-0.1963,0.9867,-0.1171
473,-0.1924,0.9839,-0.1474
474,-0.1889,0.9807,-0.1764
475,-0.1869,0.982,-0.2045
476,-0.1842,0.983,-0.2226
477,-0.1808,0.9783,-0.2324
478,-0.1816,0.9773,-0.2321
479,-0.1849,0.9756,-0.2247
480,-0.1866,0.9677,-0.2146
481,-0.188,0.9651,-0.2072
482,-0.1899,0.9671,-0.2037
483,-0.1865,0.9679,-0.2075
484,-0.1844,0.9705,-0.2127
485,-0.1839,0.9716,-0.214
486,-0.1796,0.9682,-0.2148
487,-0.1792,0.9663,-0.2125
488,-0.1821,0.966,-0.2074
489,-0.1817,0.9654,-0.2027
490,-0.1795,0.9656,-0.2016
491,-0.1785,0.9685,-0.1997
492,-0.1783,0.97,-0.1976
493,-0.1731,0.969,-0.1977
494,-0.1724,0.9676,-0.1962
495,-0.1695,0.9678,-0.1929
496,-0.1721,0.9661,-0.1894
497,-0.1685,0.9651,-0.1858
498,-0.1703,0.9638,-0.1833
499,-0.1706,0.963,-0.1834
500,-0.1725,0.9653,-0.1835
501,-0.1697,0.9675,-0.1846
502,-0.173,0.9699,-0.1833
503,-0.1719,0.9818,-0.1836
504,-0.1736,0.9927,-0.1776
505,-0.1722,0.998,-0.1619
506,-0.1723,0.9991,-0.1427
507,-0.1693,1.0214,-0.1242
508,-0.1686,1.0206,-0.0839
509,-0.1636,0.9933,-0.0299
510,-0.163,0.9854,0.0216
511,-0.1637,0.9942,0.0785
512,-0.1606,0.9694,0.1465
513,-0.155,0.9533,0.203
514,-0.1523,0.9696,0.2557
515,-0.1458,0.9645,0.3119
516,-0.1358,0.93,0.371
517,-0.1304,0.9036,0.4343
518,-0.1265,0.8612,0.4996
519,-0.1178,0.8077,0.5593
520,-0.1124,0.738,0.6244
521,-0.1035,0.6752,0.6854
522,-0.0934,0.6016,0.7338
523,-0.0849,0.5419,0.7827
524,-0.0793,0.5041,0.8213
525,-0.0564,0.4793,0.8496
526,-0.0521,0.412,0.8792
527,-0.0524,0.3844,0.9002
528,-0.0288,0.3663,0.9167
529,-0.0188,0.2801,0.9404
530,-0.0286,0.2083,0.9596
