@RELATION Features3

@ATTRIBUTE varx REAL
@ATTRIBUTE stdx REAL
@ATTRIBUTE skewx REAL
@ATTRIBUTE minx REAL
@ATTRIBUTE maxx REAL
@ATTRIBUTE avgx REAL
@ATTRIBUTE vary REAL
@ATTRIBUTE stdy REAL
@ATTRIBUTE skewy REAL
@ATTRIBUTE miny REAL
@ATTRIBUTE maxy REAL
@ATTRIBUTE avgy REAL
@ATTRIBUTE varz REAL
@ATTRIBUTE stdz REAL
@ATTRIBUTE skewz REAL
@ATTRIBUTE minz REAL
@ATTRIBUTE maxz REAL
@ATTRIBUTE avgz REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
0.102136804,0.319588491,0.270705729,-0.153564,0.742432,0.289699889,0.193931322,0.440376342,0.837854929,-1.089111,0.314209,-0.543050111,0.004646478,0.06816508,-0.309444627,0.422607,0.664551,0.553493889,1
0.086288205,0.29374854,0.519610693,-0.066895,0.72998,0.266072667,0.231653888,0.481304361,0.861353463,-1.232666,0.418457,-0.5760905,0.004953619,0.070381948,-0.259182187,0.404053,0.65918,0.544908278,1
0.092684495,0.304441284,0.626282692,-0.048096,0.735352,0.255301286,0.253336383,0.503325325,0.863275296,-1.372314,0.528076,-0.56752219,0.004453378,0.066733636,0.27472748,0.429688,0.660645,0.547014619,1
0.085539496,0.292471359,0.057273953,-0.012939,0.711914,0.3198894,0.216452281,0.465244324,0.711518972,-0.857422,0.582031,-0.354899133,0.007232144,0.085042015,0.690786391,0.48999,0.789062,0.627815733,1
0.081144901,0.284859442,0.461277018,-0.029541,0.739258,0.262776722,0.221970314,0.471137256,0.687837247,-1.15332,0.442139,-0.505981389,0.00541306,0.073573501,0.931366416,0.498047,0.813232,0.623697833,1
0.084273597,0.290299151,0.165939942,-0.001953,0.725342,0.307401824,0.214075111,0.462682516,0.713582237,-1.128662,0.507812,-0.482522471,0.003707919,0.060892688,0.467753325,0.512207,0.781738,0.632367353,1
0.083766664,0.289424713,0.230855577,-0.025146,0.717285,0.293304438,0.197039787,0.443891639,0.74148117,-0.908447,0.340332,-0.448898313,0.002917875,0.054017359,0.4120883,0.540039,0.735596,0.619064313,1
0.078153074,0.279558713,0.513997966,-0.111816,0.746094,0.2382814,0.194954622,0.44153666,1.209381218,-1.023438,0.439941,-0.55517575,0.001278282,0.03575307,0.34985175,0.551025,0.663574,0.5978515,1
0.084437639,0.290581553,0.573351105,-0.084717,0.720459,0.25236805,0.232890214,0.482587002,0.900194906,-1.223633,0.421387,-0.54913345,0.002104381,0.045873537,0.401446366,0.469971,0.638672,0.54344485,1
0.07727379,0.277981636,0.710192039,-0.074951,0.773682,0.237737636,0.2588728,0.50879544,0.886828612,-1.39624,0.514404,-0.631702727,0.001077109,0.032819339,0.665827222,0.501953,0.612061,0.545388045,1
0.089934859,0.299891413,0.539652047,-0.028809,0.789062,0.290450158,0.255223313,0.505196312,0.679880495,-1.347656,0.462402,-0.533550105,0.004914624,0.07010438,1.377554285,0.411377,0.722412,0.509611474,1
0.072445975,0.269157899,0.609304863,0.008545,0.735107,0.28251719,0.227355066,0.476817645,0.905386536,-1.310059,0.43042,-0.596296048,0.008773536,0.093667154,0.395427288,0.397217,0.686523,0.513532381,1
0.077195988,0.27784166,0.324310501,0.037598,0.760986,0.335679118,0.27981057,0.528971237,0.524181225,-1.251221,0.415039,-0.488769588,0.004246821,0.065167635,-0.903052355,0.330078,0.601074,0.504782235,1
0.066963609,0.258773276,0.516122439,0.010986,0.72998,0.302951333,0.290027646,0.538542149,0.552212688,-1.442871,0.462891,-0.559068333,0.007457707,0.086358018,0.507056808,0.368164,0.754395,0.530639722,1
0.069467513,0.263566904,0.64570695,-0.009521,0.745117,0.280203762,0.249205655,0.499205023,1.002457518,-1.269043,0.508789,-0.605503667,0.008297237,0.091089172,-0.033714292,0.277832,0.600342,0.464378762,1
0.070918964,0.266306148,0.738752954,0.053711,0.740723,0.275867818,0.262895794,0.512733648,0.980939102,-1.19873,0.468506,-0.555597409,0.00435256,0.065973932,0.734447311,0.415527,0.677002,0.501942091,1
0.070590886,0.265689453,0.637876346,-0.022705,0.752197,0.287760333,0.261061287,0.510941569,0.901981402,-1.260986,0.542969,-0.539597238,0.003574346,0.059785837,0.382351181,0.457275,0.662598,0.534493524,1
0.086268794,0.293715499,0.546339027,0.010498,0.820557,0.322695857,0.25701025,0.506961784,0.839378765,-1.159668,0.415527,-0.579601429,0.003901384,0.062461059,0.355063923,0.356934,0.608154,0.460786381,1
0.073808479,0.27167716,0.551153756,0.022949,0.737305,0.310967389,0.288884553,0.537479817,0.602966555,-1.314209,0.369385,-0.579128722,0.007521616,0.086727252,0.173708415,0.344482,0.622314,0.461900556,1
0.080790203,0.284236174,0.202031051,0.02124,0.723633,0.33461,0.230640583,0.480250542,0.575047959,-0.950195,0.487061,-0.433990438,0.004457023,0.06676094,0.242457677,0.39624,0.670898,0.527892938,1
0.076514585,0.276612698,0.235128273,-0.115479,0.729736,0.302747944,0.263312573,0.513139916,0.862532985,-1.188232,0.465088,-0.513861667,0.00531405,0.072897531,0.526919336,0.429688,0.733398,0.548950111,1
0.0829896,0.288079156,0.344169136,-0.057373,0.741699,0.305118353,0.283651248,0.532589192,0.794898558,-1.165039,0.507568,-0.548526588,0.003004036,0.054809084,0.28890126,0.431396,0.623291,0.523049706,1
0.079941586,0.282739431,0.217695088,0.034668,0.746826,0.367416375,0.299851269,0.547586769,0.366702576,-1.290039,0.422852,-0.522796563,0.012125667,0.110116605,0.44683304,0.301025,0.617432,0.42498775,1
0.06850276,0.261730319,0.679579248,0.063721,0.763428,0.310996579,0.29989819,0.54762961,0.674058341,-1.338623,0.481201,-0.575465053,0.009080706,0.095292737,0.880533453,0.341797,0.733887,0.501683211,1
0.093745303,0.306178547,0.213192537,-0.113525,0.794189,0.332002412,0.259195845,0.509112802,0.85724925,-1.237793,0.519775,-0.544361824,0.002295518,0.047911562,1.747537189,0.421875,0.626953,0.489300941,1
0.071384172,0.267178164,0.489034431,0.021729,0.744385,0.311178824,0.282198191,0.531223297,0.81862768,-1.107666,0.619141,-0.539938529,0.002594783,0.050939013,0.070288882,0.438965,0.582764,0.51304,1
